"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Psuedo","Average RSA","lrswitch","-0.0282509978737","0.00971660423176952","35524","-2.9074970226049","0.00364559172926402"
"Psuedo","Average RSA","fingerswitch","-0.0622323553751461","0.0130804219113875","35524","-4.7576718699699","1.96607206503889e-06"
"Psuedo","Average RSA","rha","0.0491897590437779","0.00664068466564236","35524","7.40733245447964","1.31722431470152e-13"
"Psuedo","Average RSA","speed:lrswitch","0.00112562698043239","0.000734704684781534","35524","1.53208085336641","0.125511388720262"
"Psuedo","Average RSA","speed:fingerswitch","-0.000702132309954013","0.000989439038338994","35524","-0.709626649796138","0.477940346587157"
"Psuedo","Average RSA","lrswitch:fingerswitch","-0.00410867628007859","0.00561328791463824","35524","-0.731955378480419","0.46420063213084"
"Psuedo","Average RSA","speed:rha","-0.000952547113161607","0.000475386965968","35524","-2.0037299744262","0.0451065730019711"
"Psuedo","Average RSA","lrswitch:rha","0.000308864639021608","0.0045871376754012","35524","0.0673327597464346","0.946317176484394"
"Psuedo","Average RSA","fingerswitch:rha","0.0144289041229058","0.00541732645221806","35524","2.66347325570496","0.00773734376217788"
"Psuedo","Average RSA","speed:lrswitch:fingerswitch","-0.000230331664998205","0.000421803828816787","35524","-0.546063476105264","0.585025734091438"
"Psuedo","Average RSA","speed:lrswitch:rha","-0.000320377152105685","0.000346123202475773","35524","-0.925615936215977","0.354651896343826"
"Psuedo","Average RSA","speed:fingerswitch:rha","0.000187184822954965","0.00041358129172241","35524","0.452594995715137","0.650843166764555"
"Psuedo","Average RSA","lrswitch:fingerswitch:rha","0.00675031799856245","0.00329741829531918","35524","2.04715246717252","0.0406504572865804"
"Psuedo","Average RSA","speed:lrswitch:fingerswitch:rha","-2.85053821082164e-06","0.000253891428283092","35524","-0.0112273905034842","0.991042089704842"
"Psuedo","High RSA","(Intercept)","4.34028959657495","0.0586514558804268","35524","74.0013957270478","0"
"Psuedo","High RSA","letterfreq","0.0451344615679489","0.00747858442415363","35524","6.03516106900898","1.60373998575068e-09"
"Psuedo","High RSA","speed","0.00099662931127147","0.0031368412208766","601","0.317717487464335","0.750809600569696"
"Psuedo","High RSA","lrswitch","-0.0275422163766158","0.013805872983103","35524","-1.99496376725504","0.0460544577771803"
"Psuedo","High RSA","fingerswitch","-0.0291209564856021","0.0192316189284071","35524","-1.51422283240999","0.129978229354419"
"Psuedo","High RSA","highrha","0.0491897590437779","0.00664068466564238","35524","7.40733245447962","1.31722431470167e-13"
"Psuedo","High RSA","speed:lrswitch","0.000390426608449404","0.0010446351501131","35524","0.373744468015588","0.708596668593895"
"Psuedo","High RSA","speed:fingerswitch","-0.000272581230666495","0.00146369477612165","35524","-0.186228191227649","0.852266880591735"
"Psuedo","High RSA","lrswitch:fingerswitch","0.0113819299349037","0.00954091687711037","35524","1.19295976283056","0.232893099460467"
"Psuedo","High RSA","speed:highrha","-0.000952547113161608","0.000475386965968","35524","-2.0037299744262","0.045106573001971"
"Psuedo","High RSA","lrswitch:highrha","0.000308864639021615","0.0045871376754012","35524","0.0673327597464362","0.946317176484392"
"Psuedo","High RSA","fingerswitch:highrha","0.0144289041229059","0.00541732645221806","35524","2.66347325570497","0.00773734376217763"
"Psuedo","High RSA","speed:lrswitch:fingerswitch","-0.000236873070148898","0.000729141382781687","35524","-0.324865760938191","0.745284584364037"
"Psuedo","High RSA","speed:lrswitch:highrha","-0.000320377152105685","0.000346123202475773","35524","-0.925615936215979","0.354651896343824"
"Psuedo","High RSA","speed:fingerswitch:highrha","0.000187184822954964","0.000413581291722409","35524","0.452594995715135","0.650843166764557"
"Psuedo","High RSA","lrswitch:fingerswitch:highrha","0.00675031799856251","0.00329741829531918","35524","2.04715246717253","0.0406504572865787"
"Psuedo","High RSA","speed:lrswitch:fingerswitch:highrha","-2.85053821082199e-06","0.000253891428283092","35524","-0.0112273905034856","0.991042089704841"
"Real","Low Finger Switch","(Intercept)","4.86300852558735","0.0699648196047508","35670","69.5064827303169","0"
"Real","Low Finger Switch","letterfreq","0.112627318025636","0.0109626782840339","35670","10.2737045736047","1.00230141358568e-24"
"Real","Low Finger Switch","speed","-0.00259784251059697","0.00264869478467743","604","-0.980801006452445","0.327083571805347"
"Real","Low Finger Switch","lrswitch","0.0303053350008286","0.0168714785258179","35670","1.79624654439463","0.0724637738940993"
"Real","Low Finger Switch","lowfingerswitch","-0.0896978107118462","0.0125660978510578","35670","-7.1380799174897","9.64480079344642e-13"
"Real","Low Finger Switch","rha","0.0546387777505823","0.0141576305359348","35670","3.85931654395828","0.000113904717612524"
"Real","Low Finger Switch","speed:lrswitch","0.000361989257465439","0.00125062248786624","35670","0.289447264044524","0.772240812847282"
"Real","Low Finger Switch","speed:lowfingerswitch","0.00241879804046031","0.000931315720938922","35670","2.59718373273218","0.00940302180167943"
"Real","Low Finger Switch","lrswitch:lowfingerswitch","0.00689295940280437","0.00459738422814312","35670","1.49932201894477","0.133798962766885"
"Real","Low Finger Switch","speed:rha","0.000489711111856481","0.00102437406580173","35670","0.478058873418672","0.632611232345706"
"Real","Low Finger Switch","lrswitch:rha","0.0137837738997596","0.00812122104205272","35670","1.6972538770199","0.0896573968138182"
"Real","Low Finger Switch","lowfingerswitch:rha","0.00574026322735752","0.00416782037240988","35670","1.37728181985886","0.168433775970335"
"Real","Low Finger Switch","speed:lrswitch:lowfingerswitch","-0.000909650645945017","0.000347480770299711","35670","-2.6178445649249","0.00885244667639579"
