date,time,code,partno,rating,hand,speed,error,trial,trialcode,realfake,lrswitch,fingerswitch,letterfreq,length,rha
42413,11:00,451,424130.4583,5,right,55,92,3yeet,yeet,fake,1,2,9.1085,4,-2
42413,11:00,451,424130.4583,3,right,55,92,20sad,sad,real,0,2,6.249,3,-3
42413,11:00,451,424130.4583,9,right,55,92,17wish,wish,real,3,3,5.43675,4,0
42413,11:00,451,424130.4583,6,right,55,92,11lik,lik,fake,0,1,3.921,3,3
42413,11:00,451,424130.4583,5,right,55,92,1jobe,jobe,fake,1,3,5.4635,4,0
42413,11:00,451,424130.4583,5,right,55,92,7voom,voom,fake,1,2,4.5995,4,2
42413,11:00,451,424130.4583,5,right,55,92,9tage,tage,fake,0,3,7.985,4,-4
42413,11:00,451,424130.4583,5,right,55,92,2yate,yate,fake,1,3,7.97475,4,-2
42413,11:00,451,424130.4583,4,right,55,92,11yoop,yoop,fake,0,2,4.72925,4,4
42413,11:00,451,424130.4583,2,right,55,92,5tutk,tutk,fake,3,3,5.4105,4,0
42413,11:00,451,424130.4583,8,right,55,92,12life,life,real,1,3,6.48025,4,0
42413,11:00,451,424130.4583,4,right,55,92,4woem,woem,fake,3,3,6.24375,4,0
42413,11:00,451,424130.4583,7,right,55,92,19silk,silk,real,1,3,4.5225,4,2
42413,11:00,451,424130.4583,5,right,55,92,6slin,slin,fake,1,3,6.01675,4,2
42413,11:00,451,424130.4583,5,right,55,92,17hay,hay,real,2,2,5.411666667,3,1
42413,11:00,451,424130.4583,5,right,55,92,3tove,tove,fake,2,3,7.56075,4,-2
42413,11:00,451,424130.4583,5,right,55,92,6voke,voke,fake,2,3,5.48975,4,0
42413,11:00,451,424130.4583,5,right,55,92,23pill,pill,real,0,2,4.23625,4,4
42413,11:00,451,424130.4583,5,right,55,92,1nofe,nofe,fake,1,3,7.2965,4,0
42413,11:00,451,424130.4583,5,right,55,92,24jufe,jufe,fake,1,2,4.46025,4,0
42413,11:00,451,424130.4583,5,right,55,92,17girl,girl,real,3,3,4.74825,4,0
42413,11:00,451,424130.4583,9,right,55,92,3neeb,neeb,fake,1,2,8.41125,4,-2
42413,11:00,451,424130.4583,5,right,55,92,7foof,foof,fake,2,2,4.8675,4,0
42413,11:00,451,424130.4583,5,right,55,92,6flin,flin,fake,1,3,4.992,4,2
42413,11:00,451,424130.4583,5,right,55,92,3meef,meef,fake,1,2,7.5095,4,-2
42413,11:00,451,424130.4583,6,right,55,92,11lool,lool,fake,0,0,5.766,4,4
42413,11:00,451,424130.4583,1,right,55,92,15wasp,wasp,real,1,3,4.69575,4,-2
42413,11:00,451,424130.4583,1,right,55,92,19tomb,tomb,real,2,3,5.11525,4,0
42413,11:00,451,424130.4583,5,right,55,92,2mafe,mafe,fake,1,3,6.37575,4,-2
42413,11:00,451,424130.4583,5,right,55,92,18snob,snob,real,2,3,5.51875,4,0
42413,11:00,451,424130.4583,5,right,55,92,7voop,voop,fake,1,2,4.48025,4,2
42413,11:00,451,424130.4583,5,right,55,92,10pluk,pluk,fake,0,3,2.371,4,4
42413,11:00,451,424130.4583,3,right,55,92,14obey,obey,real,2,3,5.91875,4,0
42413,11:00,451,424130.4583,5,right,55,92,8wac,wac,fake,0,2,4.436333333,3,-3
42413,11:00,451,424130.4583,6,right,55,92,15bath,bath,real,1,3,6.20225,4,-2
42413,11:00,451,424130.4583,5,right,55,92,3leel,leel,fake,2,2,8.3635,4,0
42413,11:00,451,424130.4583,4,right,55,92,24aqil,aqil,fake,1,2,4.81325,4,0
42413,11:00,451,424130.4583,5,right,55,92,11nilo,nilo,fake,0,2,6.31175,4,4
42413,11:00,451,424130.4583,8,right,55,92,13nude,nude,real,1,1,6.6155,4,0
42413,11:00,451,424130.4583,5,right,55,92,7soog,soog,fake,2,2,5.839,4,0
42413,11:00,451,424130.4583,8,right,55,92,15cute,cute,real,2,3,6.8245,4,-2
42413,11:00,451,424130.4583,9,right,55,92,20eat,eat,real,0,2,9.975,3,-3
42413,11:00,451,424130.4583,4,right,55,92,9zabe,zabe,fake,0,2,5.60875,4,-4
42413,11:00,451,424130.4583,7,right,55,92,15baby,baby,real,1,3,3.28125,4,-2
42413,11:00,451,424130.4583,4,right,55,92,9zafe,zafe,fake,0,2,5.79275,4,-4
42413,11:00,451,424130.4583,6,right,55,92,17bowl,bowl,real,3,3,3.846,4,0
42413,11:00,451,424130.4583,5,right,55,92,22pom,pom,real,0,2,3.947333333,3,3
42413,11:00,451,424130.4583,5,right,55,92,11joom,joom,fake,0,2,4.39325,4,4
42413,11:00,451,424130.4583,5,right,55,92,24kige,kige,fake,1,2,5.61375,4,0
42413,11:00,451,424130.4583,5,right,55,92,2kabe,kabe,fake,1,3,5.78325,4,-2
42413,11:00,451,424130.4583,5,right,55,92,20seat,seat,real,0,3,9.063,4,-4
42413,11:00,451,424130.4583,3,right,55,92,2vape,vape,fake,2,3,5.944,4,-2
42413,11:00,451,424130.4583,3,right,55,92,6dlip,dlip,fake,1,3,4.29325,4,2
42413,11:00,451,424130.4583,3,right,55,92,21fear,fear,real,0,3,7.271,4,-4
42413,11:00,451,424130.4583,9,right,55,92,18song,song,real,2,3,5.6495,4,0
42413,11:00,451,424130.4583,9,right,55,92,22lip,lip,real,0,2,4.306666667,3,3
42413,11:00,451,424130.4583,5,right,55,92,4melb,melb,fake,3,3,5.15625,4,0
42413,11:00,451,424130.4583,3,right,55,92,24nuad,nuad,fake,1,2,5.48175,4,0
42413,11:00,451,424130.4583,4,right,55,92,10hil,hil,fake,0,2,5.695,3,3
42413,11:00,451,424130.4583,5,right,55,92,22jip,jip,real,0,2,3.016,3,3
42413,11:00,451,424130.4583,5,right,55,92,5anay,anay,fake,3,3,6.26425,4,0
42413,11:00,451,424130.4583,4,right,55,92,12lust,lust,real,1,3,5.5415,4,0
42413,11:00,451,424130.4583,5,right,55,92,8tez,tez,fake,0,2,7.277333333,3,-3
42413,11:00,451,424130.4583,5,right,55,92,5yame,yame,fake,3,3,6.31225,4,0
42413,11:00,451,424130.4583,6,right,55,92,17name,name,real,3,3,7.506,4,0
42413,11:00,451,424130.4583,6,right,55,92,14dawn,dawn,real,1,3,5.38225,4,-2
42413,11:00,451,424130.4583,9,right,55,92,19sun,sun,real,1,1,5.278,3,1
42413,11:00,451,424130.4583,5,right,55,92,14arm,arm,real,1,2,5.52,3,-1
42413,11:00,451,424130.4583,5,right,55,92,1pobe,pobe,fake,1,3,5.9075,4,0
42413,11:00,451,424130.4583,6,right,55,92,16fish,fish,real,3,3,5.40375,4,0
42413,11:00,451,424130.4583,5,right,55,92,12lids,lids,real,1,3,5.39275,4,0
42413,11:00,451,424130.4583,7,right,55,92,20zest,zest,real,0,3,7.03975,4,-4
42413,11:00,451,424130.4583,5,right,55,92,24celm,celm,fake,1,2,5.47875,4,0
42413,11:00,451,424130.4583,5,right,55,92,22yip,yip,real,0,2,3.623,3,3
42413,11:00,451,424130.4583,7,right,55,92,23noon,noon,real,0,2,7.128,4,4
42413,11:00,451,424130.4583,3,right,55,92,13cell,cell,real,1,1,5.8835,4,0
42413,11:00,451,424130.4583,8,right,55,92,16air,air,real,2,2,7.04,3,-1
42413,11:00,451,424130.4583,5,right,55,92,9veed,veed,fake,0,1,7.65875,4,-4
42413,11:00,451,424130.4583,5,right,55,92,14wife,wife,real,2,3,6.064,4,-2
42413,11:00,451,424130.4583,5,right,55,92,8waf,waf,fake,0,2,4.251666667,3,-3
42413,11:00,451,424130.4583,5,right,55,92,10lim,lim,fake,0,2,4.465666667,3,3
42413,11:00,451,424130.4583,5,right,55,92,12liar,liar,real,1,3,6.28625,4,0
42413,11:00,451,424130.4583,5,right,55,92,21bed,bed,real,0,1,6.149,3,-3
42413,11:00,451,424130.4583,8,right,55,92,21star,star,real,0,3,7.38425,4,-4
42413,11:00,451,424130.4583,5,right,55,92,6clim,clim,fake,1,3,4.04475,4,2
42413,11:00,451,424130.4583,2,right,55,92,4alfi,alfi,fake,3,3,5.3465,4,0
42413,11:00,451,424130.4583,3,right,55,92,21fat,fat,real,0,2,6.483666667,3,-3
42413,11:17,828,424130.4701,4,Right,46,93,5yane,yane,fake,3,3,7.398,4,0
42413,11:17,828,424130.4701,2,Right,46,93,13army,army,real,1,2,4.6335,4,0
42413,11:17,828,424130.4701,4,Right,46,93,9beeg,beeg,fake,0,2,7.22775,4,-4
42413,11:17,828,424130.4701,6,Right,46,93,23lion,lion,real,0,3,6.31175,4,4
42413,11:17,828,424130.4701,7,Right,46,93,8taxe,taxe,fake,0,3,7.51875,4,-4
42413,11:17,828,424130.4701,2,Right,46,93,14pest,pest,real,1,3,7.5035,4,-2
42413,11:17,828,424130.4701,5,Right,46,93,18sour,sour,real,2,3,5.64475,4,0
42413,11:17,828,424130.4701,5,Right,46,93,5jame,jame,fake,3,3,5.857,4,0
42413,11:17,828,424130.4701,2,Right,46,93,19ugly,ugly,real,2,3,2.693,4,2
42413,11:17,828,424130.4701,9,Right,46,93,23mom,mom,real,0,2,4.106333333,3,3
42413,11:17,828,424130.4701,9,Right,46,93,16lake,lake,real,3,3,6.4165,4,0
42413,11:17,828,424130.4701,4,Right,46,93,21bees,bees,real,0,2,8.30575,4,-4
42413,11:17,828,424130.4701,3,Right,46,93,22nip,nip,real,0,2,5.214666667,3,3
42413,11:17,828,424130.4701,7,Right,46,93,10nop,nop,fake,0,2,5.395,3,3
42413,11:17,828,424130.4701,6,Right,46,93,18blue,blue,real,2,3,5.24425,4,0
42413,11:17,828,424130.4701,6,Right,46,93,19cold,cold,real,2,2,4.64175,4,0
42413,11:17,828,424130.4701,1,Right,46,93,13lice,lice,real,1,2,6.61875,4,0
42413,11:17,828,424130.4701,4,Right,46,93,8dax,dax,fake,0,2,4.19,3,-3
42413,11:17,828,424130.4701,4,Right,46,93,10plin,plin,fake,0,3,4.91725,4,4
42413,11:17,828,424130.4701,6,Right,46,93,23lump,lump,real,0,2,2.7795,4,4
42413,11:17,828,424130.4701,3,Right,46,93,18win,win,real,1,2,5.358333333,3,1
42413,11:17,828,424130.4701,6,Right,46,93,2jabe,jabe,fake,1,3,5.6285,4,-2
42413,11:17,828,424130.4701,5,Right,46,93,1yofe,yofe,fake,1,3,6.10275,4,0
42413,11:17,828,424130.4701,6,Right,46,93,7soob,soob,fake,2,2,5.70825,4,0
42413,11:17,828,424130.4701,7,Right,46,93,16slap,slap,real,3,3,5.112,4,0
42413,11:17,828,424130.4701,9,Right,46,93,1nobe,nobe,fake,1,3,7.1125,4,0
42413,11:17,828,424130.4701,6,Right,46,93,15frog,frog,real,2,2,4.43425,4,-2
42413,11:17,828,424130.4701,7,Right,46,93,12more,more,real,1,3,7.1505,4,0
42413,11:17,828,424130.4701,6,Right,46,93,13hide,hide,real,1,2,7.50375,4,0
42413,11:17,828,424130.4701,6,Right,46,93,4peka,peka,fake,3,3,5.8925,4,0
