word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
run,6.41,1,1,1,3,5.164666667,-2.056199305,-4.521364426,2.083357474
shy,5.16,1,1,1,3,4.798333333,-2.056199305,-4.521364426,2.083357474
sin,3.08,1,2,1,3,6.680666667,-2.056199305,-3.521364426,2.083357474
sip,5.38,1,2,1,3,5.074,-2.056199305,-3.521364426,2.083357474
ski,5.91,1,1,1,3,4.688333333,-2.056199305,-4.521364426,2.083357474
sky,7.32,1,2,1,3,3.024333333,-2.056199305,-3.521364426,2.083357474
sly,3.74,1,2,1,3,4.108666667,-2.056199305,-3.521364426,2.083357474
son,6.91,1,2,1,3,6.861,-2.056199305,-3.521364426,2.083357474
soy,4.79,1,2,1,3,5.269333333,-2.056199305,-3.521364426,2.083357474
spy,4.68,1,2,1,3,3.41,-2.056199305,-3.521364426,2.083357474
sum,5.71,1,1,1,3,3.830333333,-2.056199305,-4.521364426,2.083357474
sun,6.92,1,1,1,3,5.278,-2.056199305,-4.521364426,2.083357474
sup,5.53,1,2,1,3,3.671333333,-2.056199305,-3.521364426,2.083357474
tin,4.95,1,2,1,3,7.590333333,-2.056199305,-3.521364426,2.083357474
tip,6.77,1,2,1,3,5.983666667,-2.056199305,-3.521364426,2.083357474
ton,5,1,2,1,3,7.770666667,-2.056199305,-3.521364426,2.083357474
top,6,1,2,1,3,6.164,-2.056199305,-3.521364426,2.083357474
toy,7.29,1,2,1,3,6.179,-2.056199305,-3.521364426,2.083357474
win,6.97,1,2,1,3,5.358333333,-2.056199305,-3.521364426,2.083357474
wok,5.84,1,2,1,3,3.546333333,-2.056199305,-3.521364426,2.083357474
woo,6.37,1,1,1,3,5.791333333,-2.056199305,-4.521364426,2.083357474
zip,5.06,1,2,1,3,2.989666667,-2.056199305,-3.521364426,2.083357474
zoo,7,1,1,1,3,5.029333333,-2.056199305,-4.521364426,2.083357474
ham,4.65,2,2,1,3,5.555666667,-1.056199305,-3.521364426,2.083357474
hay,5.41,2,2,1,3,5.411666667,-1.056199305,-3.521364426,2.083357474
hem,5.47,2,2,1,3,7.067333333,-1.056199305,-3.521364426,2.083357474
hen,6.14,2,2,1,3,8.515,-1.056199305,-3.521364426,2.083357474
icy,5.73,2,2,1,3,3.907333333,-1.056199305,-3.521364426,2.083357474
jam,5.81,2,2,1,3,3.575333333,-1.056199305,-3.521364426,2.083357474
key,6.22,2,2,1,3,5.149333333,-1.056199305,-3.521364426,2.083357474
