word,happiness_average,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
alleged,4,2,4,-3,7,6.841285714,-0.515839387,-0.620762712,-1.873890234
allein,4.88,3,4,2,6,7.105666667,0.484160613,-0.620762712,3.126109766
allen,5.1,3,3,1,5,7.1336,0.484160613,-1.620762712,2.126109766
alles,5.31,2,3,-1,5,7.0492,-0.515839387,-1.620762712,0.126109766
alley,4.74,3,3,1,5,6.1786,0.484160613,-1.620762712,2.126109766
alliance,6,4,5,0,8,6.697875,1.484160613,0.379237288,1.126109766
allied,5.88,2,3,0,6,6.689666667,-0.515839387,-1.620762712,1.126109766
allies,6.5,2,4,0,6,7.035333333,-0.515839387,-0.620762712,1.126109766
allison,5.58,3,5,3,7,6.252285714,0.484160613,0.379237288,4.126109766
allow,6,2,2,1,5,5.2168,-0.515839387,-2.620762712,2.126109766
allowed,5.96,2,3,-1,7,6.148428571,-0.515839387,-1.620762712,0.126109766
allowing,6.16,4,5,2,8,5.22675,1.484160613,0.379237288,3.126109766
allows,6.26,2,2,0,6,5.401833333,-0.515839387,-2.620762712,1.126109766
allright,6.74,6,6,0,8,5.791875,3.484160613,1.379237288,1.126109766
alma,5.62,2,3,0,4,5.69125,-0.515839387,-1.620762712,1.126109766
almighty,6.24,5,7,2,8,5.087875,2.484160613,2.379237288,3.126109766
almost,4.7,2,5,0,6,6.248,-0.515839387,0.379237288,1.126109766
alone,3.32,2,3,1,5,7.83,-0.515839387,-1.620762712,2.126109766
along,5.48,2,3,1,5,5.6926,-0.515839387,-1.620762712,2.126109766
alot,5.56,2,2,0,4,7.18875,-0.515839387,-2.620762712,1.126109766
already,5.28,3,6,-3,7,6.467857143,0.484160613,1.379237288,-1.873890234
alright,6.08,6,6,-1,7,6.044285714,3.484160613,1.379237288,0.126109766
als,4.58,2,2,-1,3,6.173,-0.515839387,-2.620762712,0.126109766
also,5.42,3,3,0,4,6.5065,0.484160613,-1.620762712,1.126109766
alter,5.32,2,4,-3,5,7.9874,-0.515839387,-0.620762712,-1.873890234
altered,4.82,2,5,-5,7,8.127428571,-0.515839387,0.379237288,-3.873890234
alternative,5.94,6,10,-5,11,7.686818182,3.484160613,5.379237288,-3.873890234
alternatives,5.92,6,11,-6,12,7.5735,3.484160613,6.379237288,-4.873890234
although,4.58,5,7,2,8,5.7145,2.484160613,2.379237288,3.126109766
altijd,4.62,4,5,0,6,5.436666667,1.484160613,0.379237288,1.126109766
altogether,6.4,6,9,-4,10,7.7311,3.484160613,4.379237288,-2.873890234
alumni,6.04,1,3,4,6,5.1785,-1.515839387,-1.620762712,5.126109766
always,6.48,4,5,-2,6,5.17,1.484160613,0.379237288,-0.873890234
am,5.38,1,1,0,2,5.2865,-1.515839387,-3.620762712,1.126109766
ama,4.96,2,2,-1,3,6.246666667,-0.515839387,-2.620762712,0.126109766
amanda,5.64,4,5,-2,6,6.318166667,1.484160613,0.379237288,-0.873890234
amar,5.19,2,3,-2,4,6.18175,-0.515839387,-1.620762712,-0.873890234
