Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
lump,4.16,0,2,4,4,2.7795,-2.517408124,-2.52417795,5.111218569
treat,7.36,0,3,-5,5,8.9936,-2.517408124,-1.52417795,-3.888781431
brave,7.15,0,3,-5,5,5.8652,-2.517408124,-1.52417795,-3.888781431
greet,7,0,2,-5,5,8.4924,-2.517408124,-2.52417795,-3.888781431
taste,6.66,0,4,-5,5,9.0616,-2.517408124,-0.52417795,-3.888781431
water,6.61,0,4,-5,5,7.6544,-2.517408124,-0.52417795,-3.888781431
dress,6.41,0,3,-5,5,7.1192,-2.517408124,-1.52417795,-3.888781431
grass,6.12,0,2,-5,5,5.7646,-2.517408124,-2.52417795,-3.888781431
tease,4.84,0,4,-5,5,9.7908,-2.517408124,-0.52417795,-3.888781431
beast,4.23,0,4,-5,5,7.5488,-2.517408124,-0.52417795,-3.888781431
greed,3.51,0,1,-5,5,7.5318,-2.517408124,-3.52417795,-3.888781431
waste,2.93,0,4,-5,5,7.7224,-2.517408124,-0.52417795,-3.888781431
fever,2.76,0,4,-5,5,6.9194,-2.517408124,-0.52417795,-3.888781431
beach,8.03,1,4,-3,5,6.2474,-1.517408124,-0.52417795,-1.888781431
earth,7.15,1,3,-3,5,8.4012,-1.517408124,-1.52417795,-1.888781431
dream,6.73,1,4,-3,5,6.703,-1.517408124,-0.52417795,-1.888781431
green,6.18,1,2,-3,5,8.031,-1.517408124,-2.52417795,-1.888781431
watch,5.78,1,4,-3,5,5.6918,-1.517408124,-0.52417795,-1.888781431
weary,3.79,1,4,-3,5,6.238,-1.517408124,-0.52417795,-1.888781431
trash,2.67,1,3,-3,5,7.1262,-1.517408124,-1.52417795,-1.888781431
crash,2.31,1,4,-3,5,5.8714,-1.517408124,-0.52417795,-1.888781431
death,1.61,1,3,-3,5,8.0544,-1.517408124,-1.52417795,-1.888781431
favor,6.46,2,4,-3,5,4.9734,-0.517408124,-0.52417795,-1.888781431
event,6.21,2,4,-3,5,8.4374,-0.517408124,-0.52417795,-1.888781431
table,5.22,2,4,-3,5,7.0884,-0.517408124,-0.52417795,-1.888781431
razor,4.81,2,3,-3,5,5.5444,-0.517408124,-1.52417795,-1.888781431
germs,2.86,2,4,-3,5,5.8874,-0.517408124,-0.52417795,-1.888781431
fraud,2.67,2,3,-3,5,4.6786,-0.517408124,-1.52417795,-1.888781431
radio,6.73,1,4,-1,5,6.576,-1.517408124,-0.52417795,0.111218569
wagon,5.37,1,4,-1,5,5.3596,-1.517408124,-0.52417795,0.111218569
swamp,5.14,1,3,-1,5,4.2378,-1.517408124,-1.52417795,0.111218569
devil,2.21,1,3,-1,5,5.7848,-1.517408124,-1.52417795,0.111218569
bride,7.34,2,2,-3,5,6.28,-0.517408124,-2.52417795,-1.888781431
trust,6.68,2,3,-3,5,6.6368,-0.517408124,-1.52417795,-1.888781431
swift,6.46,2,2,-3,5,5.3874,-0.517408124,-2.52417795,-1.888781431
salad,5.74,2,4,-3,5,6.1878,-0.517408124,-0.52417795,-1.888781431
stove,4.98,2,4,-3,5,7.314,-0.517408124,-0.52417795,-1.888781431
stiff,4.68,2,3,-3,5,5.361,-0.517408124,-1.52417795,-1.888781431
tense,3.56,2,4,-3,5,9.5072,-0.517408124,-0.52417795,-1.888781431
FALSE,3.27,2,4,-3,5,6.6898,-0.517408124,-0.52417795,-1.888781431
crude,3.12,2,3,-3,5,5.6964,-0.517408124,-1.52417795,-1.888781431
abuse,1.8,2,4,-3,5,6.2892,-0.517408124,-0.52417795,-1.888781431
grief,1.69,2,3,-3,5,5.9796,-0.517408124,-1.52417795,-1.888781431
truth,7.8,3,3,-1,5,6.5902,0.482591876,-1.52417795,0.111218569
crown,6.58,3,4,-1,5,5.077,0.482591876,-0.52417795,0.111218569
candy,6.54,3,4,-1,5,4.785,0.482591876,-0.52417795,0.111218569
truck,5.47,3,3,-1,5,4.271,0.482591876,-1.52417795,0.111218569
storm,4.95,3,4,-1,5,6.2566,0.482591876,-0.52417795,0.111218569
bench,4.61,3,4,-1,5,5.9638,0.482591876,-0.52417795,0.111218569
scorn,2.84,3,4,-1,5,5.8704,0.482591876,-0.52417795,0.111218569
cruel,1.97,3,4,-1,5,5.6508,0.482591876,-0.52417795,0.111218569
